,lbda,hC,hD,hE,hpC,hpD,hpE,f,df,W,dW,Up,dUp,F,dF,Fcorr,dFcorr
138,0.69,0.9999714666507997,0.8683817773437497,0.07892279296874992,0.008498244778961248,2.9812792968750053,2.2804980468749987,2.151440245477337,0.04039248676085075,1.0983540203088422,0.001361273104614263,-3.9216846358641533,0.06368056058783363,5.333327920295537,0.10013123899893245,5.100770233488772,0.10017471510168605
139,0.695,0.9999963946198016,0.8828639508056642,0.0907737408447265,0.0021554634973534924,2.8108905029296887,2.4596209716796866,2.141914704150645,0.04039551342845166,1.0964434789760489,0.0013617775969802161,-5.601671203181979,0.06922232238818839,5.309714512662966,0.10013874197785799,5.081472623614386,0.10018168500934502
140,0.7,1.0,0.8964843749999999,0.10351562499999994,0.0,2.6367187500000036,2.6367187499999996,2.1285204737794245,0.04039909426152469,1.0943915882158008,0.001363725677029061,-7.761842879915832,0.07507711701555543,5.276510791128114,0.1001476187091762,5.052912383085968,0.10019006805580394
141,0.705,1.0,0.9092262591552732,0.11713604919433589,0.0,2.459620971679691,2.810890502929687,2.1103356936309368,0.040403346873211836,1.0922001954501415,0.0013674198190922273,-10.320321231129924,0.0812963668710093,5.231431502547247,0.10015816075081223,5.012801896053139,0.10020016976545144
142,0.71,1.0,0.92107720703125,0.13161822265624998,0.0,2.2804980468750053,2.9812792968749995,2.0866813898951087,0.040408402579247486,1.089871619507555,0.001373135490491795,-13.187172354804034,0.08793489035604658,5.1727935000209655,0.10017069362882891,4.959454683548949,0.10021232691397956
143,0.715,1.0,0.9320294366455073,0.1469411798095703,0.0,2.100294799804687,3.1470721435546873,2.056925185469364,0.04041441160692131,1.0874086368198688,0.0013811205729668272,-16.37232455697483,0.09504941043294021,5.09902914788548,0.100185589750222,4.891298824701417,0.10022692054613468
144,0.72,1.0,0.9420800000000003,0.16307999999999997,0.0,1.9200000000000008,3.3075,2.0204170095181126,0.040421547130421245,1.0848144771890391,0.001391588694660917,-19.88338014857652,0.10269508864650842,5.008526948473165,0.10020327840636206,4.806717576289505,0.10024438568957181
145,0.725,1.0,0.9512310028076167,0.1800060272216797,0.0,1.740646362304687,3.4618377685546875,1.9764938703587909,0.04043000878241506,1.0820928363382727,0.0014047090993277553,-23.725536800328598,0.11092281980158578,4.89964337389196,0.10022425447805418,4.704061157087535,0.10026521956686875
146,0.73,1.0,0.9594898242187495,0.19768708984375,0.0,1.563310546875,3.609404296875,1.9244847754298195,0.04044002627077571,1.0792479127275065,0.0014205958569979877,-27.90151988524991,0.1197763619942273,4.770715062414529,0.10024908740124479,4.581658838755452,0.10028999008063323
147,0.735,1.0,0.9668693365478527,0.21608772033691412,0.0,1.3891131591796912,3.7495623779296876,1.8637157785301657,0.040451862884520004,1.0762844696348792,0.0014392968533063694,-32.411523666689334,0.1292893159400784,4.620071330368246,0.10027842985809289,4.43783129075241,0.10031934411766195
148,0.74,1.0,0.973388125,0.23516937500000004,0.0,1.2192187500000038,3.8817187500000006,1.7935151379442598,0.04046581858981109,1.0732079219002189,0.0014607832348220867,-37.25315994055967,0.1394819893316285,4.446046958905224,0.10031302545182727,4.270903138724019,0.10035401505921716
149,0.745,1.0,0.9790707073974615,0.25489065368652347,0.0,1.054835815429688,4.005324096679688,1.7132185719458217,0.04048223232119669,1.0700244443061937,0.0014849401837825087,-42.42141246489132,0.150358200255916,4.246995222170463,0.10035371438662762,4.07921570843457,0.10039482868696335
150,0.75,1.0,0.9839477539062497,0.27520751953125006,0.0,0.8972167968749998,4.119873046874999,1.6221746029529918,0.040501482970453265,1.0667410951257965,0.0015115599930627846,-47.90859384764667,0.16190208402360334,4.021301135232785,0.10040143591892661,3.86113994722067,0.10044270643335958
151,0.755,1.0,0.9880563067626955,0.2960735186767579,0.0,0.7476580810546896,4.224904174804688,1.5197499913607206,0.04052398847380822,1.0633659438132592,0.0015403383618776952,-53.704298267655076,0.1740749676012348,3.76739492432183,0.10045722609467313,3.6150895500517364,0.10049866463973149
152,0.76,1.0,0.9914400000000005,0.31744000000000017,0.0,0.6075000000000004,4.32,1.4053352781712523,0.04055020231060883,1.059908186362149,0.0015708746062652538,-59.79533845025526,0.18681236760707978,3.483765766770856,0.10052220906968284,3.3395343755966485,0.10056380816474905
153,0.765,1.0,0.9941492791748048,0.33925633483886736,0.0,0.4781268310546894,4.404786987304687,1.278350485054327,0.04058060666810079,1.05637822613178,0.0016026760848609654,-66.16564904430925,0.2000211618379114,3.1689759212210493,0.10059758016541807,3.033014325468682,0.10063931635738334
154,0.77,1.0,0.9962416210937506,0.36147013671875017,0.0,0.3609667968749994,4.478935546875002,1.13825106332677,0.04061570151853219,1.0527876931204347,0.0016351666401129767,-72.7961317722586,0.2135769998874672,2.8216754748862916,0.10068457879159785,2.6941539791425333,0.10072641913429355
